NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,PROBLEM,PARENT,LEVEL_NUMBER,OFFICIAL_LEVEL_NAME,COLUMN_PROBLEM
İzmir,TR31,ALL#WORLD#ASIA#TUR#TR3,False,,REGION,UniquenessConstraint - duplicate,TUR,2.0,DISTRICT,NAME
Izmir,IZMIR,ALL#WORLD#ASIA#TUR#AEGEA,False,,CITY,UniquenessConstraint - duplicate,TUR,2.0,DISTRICT,NAME
Corsica,FRM0,ALL#WORLD#EUR#FRA#FRM,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Corsica,CORSI,ALL#WORLD#EUR#FRA#MEDIT,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Bom Jesus de Goiás,BJ_GOIAS,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,UniquenessConstraint - duplicate,BRA,2.0,MUNICIPALITY,NAME
Bom Jesus De Goias,BJGGO,ALL#WORLD#SOAME#BRA#GOIAS,False,,CITY,UniquenessConstraint - duplicate,BRA,2.0,MUNICIPALITY,NAME
Port Klang,PORT_MYPKG,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,MYS,1.0,PORT_TERMINAL,NAME
Klang Port,PORT_KLANG_PORT,ALL#WORLD#ASIA#MYS,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,MYS,1.0,PORT_TERMINAL,NAME
Naples,ITF33,ALL#WORLD#EUR#ITA#ITF#ITF3,False,,DEPARTMENT,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Naples,NAPLE,ALL#WORLD#EUR#ITA#ITAS#ITCAM,False,,CITY,UniquenessConstraint - duplicate,ITA,3.0,MUNICIPALITY,NAME
Vysotsk,VYSOTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,RUS,1.0,PORT_TERMINAL,NAME
Vysotsk,VYSTSK,ALL#WORLD#EUR#RUS,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,RUS,1.0,PORT_TERMINAL,NAME
Aquitaine,FRI1,ALL#WORLD#EUR#FRA#FRI,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Aquitaine,AQUIT,ALL#WORLD#EUR#FRA#SOUTI,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Tuscany,ITI1,ALL#WORLD#EUR#ITA#ITI,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Tuscany,ITTUS,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Pays de la Loire,FRG0,ALL#WORLD#EUR#FRA#FRG,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Pays de la Loire,PAYSD,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Apulia,ITF4,ALL#WORLD#EUR#ITA#ITF,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Apulia,ITAPU,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Lüneburg,DE93,ALL#WORLD#EUR#DEU#DE9,False,,REGION,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Lüneburg,LNEBURG-GER,ALL#WORLD#EUR#DEU#LOWSA,False,,TERRITORY,UniquenessConstraint - duplicate,DEU,2.0,DISTRICT,NAME
Santa Vitoria,SANTAVITORIA,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Santa Vitória,SAN_VIC,ALL#WORLD#SOAME#BRA#BRANE#MINAS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Kirovohrad Oblast,UA33,ALL#WORLD#EUR#UKR#UA3,False,,REGION,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Kirovograd Oblast,KIROO,ALL#WORLD#EUR#UKR#CENTE,False,,STATE,UniquenessConstraint - duplicate,UKR,2.0,RAION,NAME
Amambaí,AMAM,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Amambai,AMAMS,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Chapadao Do Sul,CHAPADAO_DO_SUL,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Chapadão do Sul,CSDMA,ALL#WORLD#SOAME#BRA#BRASE#MATOS,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Hamburg,PORT_HAMBURG,ALL#WORLD#EUR#DEU,False,,CITY,UniquenessConstraint - duplicate,DEU,1.0,STATE,NAME
Hamburg,DE6,ALL#WORLD#EUR#DEU,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,DEU,1.0,STATE,NAME
Guadeloupe,FRY1,ALL#WORLD#EUR#FRA#FRY,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Guadeloupe,GLP,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Yangzijiang,PORT_YANGZG,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,CHN,1.0,PORT_TERMINAL,NAME
Yangjiang,PORT_CNYJI,ALL#WORLD#ASIA#CHN,False,,PORT_TERMINAL,UniquenessConstraint - duplicate,CHN,1.0,PORT_TERMINAL,NAME
Piedmont,ITC1,ALL#WORLD#EUR#ITA#ITC,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Piedmont,ITPIE,ALL#WORLD#EUR#ITA#ITNW,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Poitou-Charentes,FRI3,ALL#WORLD#EUR#FRA#FRI,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Poitou-Charentes,POITO,ALL#WORLD#EUR#FRA#WESTF,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Upper Normandy,FRD2,ALL#WORLD#EUR#FRA#FRD,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Upper Normandy,UPPER,ALL#WORLD#EUR#FRA#PARIS,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Franche-Comté,FRC2,ALL#WORLD#EUR#FRA#FRC,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Franche-Comté,FRANC,ALL#WORLD#EUR#FRA#EASTF,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Bragança Paulista,BRAGA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Braganca Paulista,BRAGANCA_PAULISTA,ALL#WORLD#SOAME#BRA#BRANE#SAOPO,False,,CITY,UniquenessConstraint - duplicate,BRA,3.0,CITY,NAME
Martinique,FRY2,ALL#WORLD#EUR#FRA#FRY,False,,REGION,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Martinique,MTQ,ALL#WORLD#EUR#FRA#OVERS,False,,STATE,UniquenessConstraint - duplicate,FRA,2.0,DEPARTMENT,NAME
Calabria,ITF6,ALL#WORLD#EUR#ITA#ITF,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Calabria,ITCAL,ALL#WORLD#EUR#ITA#ITAS,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Lazio,ITI4,ALL#WORLD#EUR#ITA#ITI,False,,REGION,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Lazio,ITLAZ,ALL#WORLD#EUR#ITA#ITAC,False,,STATE,UniquenessConstraint - duplicate,ITA,2.0,PROVINCE,NAME
Central Hungary,HU1,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,HUN,1.0,CAPITAL CITY,NAME
Central Hungary,HUN_CENT,ALL#WORLD#EUR#HUN,False,,NATIONAL_REGION,UniquenessConstraint - duplicate,HUN,1.0,CAPITAL CITY,NAME
