NAME,CODE,HIERARCHY,IS_GROUP,CHILDREN,LEVEL_NAME,HIERARCHY_short
Malta,MT00,ALL#WORLD#EUR#MLT#MT0#MT00,false,,REGION,ALL#WORLD#EUR#MLT#MT0
Hambantota International Port,PORT_HAM,ALL#WORLD#ASIA#LKA#PORT_HAM,false,,PORT_TERMINAL,ALL#WORLD#ASIA#LKA
Feodosia District,UA449,ALL#WORLD#CIS#UKR#UA4#UA44#UA449,false,,DEPARTMENT,ALL#WORLD#CIS#UKR#UA4#UA44
Safi,PORT_MASFI,ALL#WORLD#AFRMI#MAR#PORT_MASFI,false,,PORT_TERMINAL,ALL#WORLD#AFRMI#MAR
Phuket,PHUKET_THAI,ALL#WORLD#ASIA#THA#PHUKET_THAI,false,,PORT_TERMINAL,ALL#WORLD#ASIA#THA
EEZZZ Extra-Regio NUTS 3,EEZZZ,ALL#WORLD#EUR#EST#EEZ#EEZZ#EEZZZ,false,,DEPARTMENT,ALL#WORLD#EUR#EST#EEZ#EEZZ
Isernia,ITF21,ALL#WORLD#EUR#ITA#ITF#ITF2#ITF21,false,,DEPARTMENT,ALL#WORLD#EUR#ITA#ITF#ITF2
Macroregion 03,UA3,ALL#WORLD#CIS#UKR#UA3,false,,NATIONAL_REGION,ALL#WORLD#CIS#UKR
Poldiv,POLDV,ALL#WORLD#EUR#BGR#POLDV,false,,STATE,ALL#WORLD#EUR#BGR
South Murray Mallee,SOUTH_MURRAY_MALLEE,ALL#WORLD#OCEAN#AUS#AUSOU#SOUTH_MURRAY_MALLEE,false,,FEDERAL_DISTRICT,ALL#WORLD#OCEAN#AUS#AUSOU
Fairmont WY,PAIRWY,ALL#WORLD#NOAME#USA#MOUNT#WYOMI#PAIRWY,false,,CITY,ALL#WORLD#NOAME#USA#MOUNT#WYOMI
Calabarzon,CALABARZON,ALL#WORLD#ASIA#PHL#CALABARZON,false,,NATIONAL_REGION,ALL#WORLD#ASIA#PHL
Indian Ocean,IND_OCE,IND_OCE,false,,REGION,IND_OCE
Longkou,PORT_CNLKU,ALL#WORLD#ASIA#CHN#PORT_CNLKU,false,,PORT_TERMINAL,ALL#WORLD#ASIA#CHN
Itirapina,ITIRAPINA,ALL#WORLD#Americas#SOAME#BRA#SAOP#ITIRAPINA,false,,CITY,ALL#WORLD#Americas#SOAME#BRA#SAOP
Pfaffenhofen an der Ilm,DE21J,ALL#WORLD#EUR#DEU#DE2#DE21#DE21J,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE2#DE21
Waldshut,DE13A,ALL#WORLD#EUR#DEU#DE1#DE13#DE13A,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE1#DE13
Webster Springs WV,WEBSTERSPRINGSWV,ALL#WORLD#NOAME#USA#APPAL#WESTV#WEBSTERSPRINGSWV,false,,CITY,ALL#WORLD#NOAME#USA#APPAL#WESTV
Vĩnh Phúc,VINH,VINH,false,,REGION,VINH
Engadine MI,ENGMMI,ALL#WORLD#NOAME#USA#EASCB#MICHI#ENGMMI,false,,CITY,ALL#WORLD#NOAME#USA#EASCB#MICHI
Alexandria & Dekheila Port,ADP,ADP,false,,PORT_TERMINAL,ADP
Kassel,DE731,ALL#WORLD#EUR#DEU#DE7#DE73#DE731,false,,DEPARTMENT,ALL#WORLD#EUR#DEU#DE7#DE73
